Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-03754,"Croix-de-Cammazou (La),",oratoire,Barthes,non,"
oratoire, sur le chemin des Barthes, commune de Villardonnel.",
DT11-04343,"Sainte-Marie,",canal,"basses plaines de Coursan, d’Armissan et de Narbonne",11106/11014/11262,"
canal qui a servi à atterrir l’Étang-Salin ; il prend à Coursan le trop-plein de la rivière d’Aude, arrose les basses plaines de Coursan, d’Armissan et de Narbonne et se jette dans l’étang de Campignol, au roc de Conilhac.",
DT11-00944,"Bellisle,",ancien fief,Belle-Isle,non,"
ancien fief, commune de Carcassonne ; il comprenait toute la directe de l’extérieur de la ville que le roi céda au duc de Belle-Isle et que celui-ci revendit aux consuls, 1780 (arch. com. Carc.).",
DT11-09138,"Notre-Dame,",ancien décimaire,Belmati,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-00394,"Aude (L’),",rivière,Belvianes,11035,"
rivière, prend sa source au Lac d’Aude, au pied du roc d’Aude (Pyrénées-Orientales), entre dans le département de l’Ariège au col des Arres, sert de limite à l’Ariège et à l’Aude entre Escouloubre et Carcanières, pénètre dans ce département où elle arrose Axat, Belvianes, Quillan, Campagne, Couiza, Alet, Limoux, Cepie, Pieusse, Pomas, Rouffiac, Preixan, Couffoulens, Carcassonne, Trebes, Floure, Barbaira, Marseillette, Blomac, Saint-Couat-d'Aude, Puicheric, Roquecourbe, Castelnau-d'Aude, Argens, Roubia, Paraza, Ventenac-d'Aude, Canet, Raissac-d'Aude, Saint-Nazaire, Saint-Marcel, Marcorignan, Moussan, Cuxac-d'Aude, Salleles-d'Aude, Coursan, Salles-d'Aude et Fleury, et se jette dans la mer après un cours de 208 kilomètres, dont 180 dans le département.",
DT11-00272,"Argeliers,",sénéchaussée,Béziers,non,"
commune, canton de Ginestas ; église paroissiale dédiée à saint Vincent ; l’abbé de Quarante présentait à la cure ; sénéchaussée de Béziers.",
DT11-01180,"Bize,",sénéchaussée,Béziers,non,"
commune, canton de Ginestas ; église paroissiale dédiée à saint Michel. La cure était unie au chapitre Saint-Étienne-Saint-Sébastien de Narbonne ; l’archevêque de Narbonne en était le seigneur en toute justice ; sénéchaussée de Béziers.",
DT11-06797,"Launard,",pont,Béziers,non,"
lieu dit, terroir de Cité, commune de Narbonne, sect. A ; pont sur le chemin de Narbonne à Béziers, abandonné en 1329, lors de la construction de la chaussée de Cuxac-d’Aude ; repris en 1356, après la destruction de cette chaussée par les Anglais.",
DT11-07087,"Lieue (La),",lieu dit,Béziers,non,"
lieu dit, sur le chemin de Narbonne à Béziers, commune de Narbonne.",
DT11-07270,"Mailhac,",sénéchaussée,Béziers,non,"
commune, canton de Ginestas ; église paroissiale dédiée à saint Paul Serge ; l’abbé de Fontfroide en était le seigneur depuis 1325 ; le chapitre de Saint-Just de Narbonne présentait à la cure ; sénéchaussée de Béziers.",
DT11-07440,"Malpertus,",ancienne prise d’eau,Béziers,non,"
ancienne prise d’eau sur l’Aude (aujourd’hui la Robine), qui allait de la rivière vers la maison de la Leude, sur la route de Narbonne à Béziers, commune de Narbonne.",
DT11-08046,"Minestrol,",ruisseau,bois de Crausse,non,"
ruisseau qui descend du bois de Crausse et se joint au ruisseau des Coumeilles pour former le ruisseau de la Bouteille, affluent du Lauquet, communes de Villebazy et de Saint-Hilaire.",
DT11-13301,"Sarrat-de-la-Volière (Le),",quartier forestier,bois de Fourques,non,"
quartier forestier du bois de Fourques, commune de Talairan.",
DT11-09330,"Orbiel (L’),",rivière,bois de Gramentés,non,"
rivière (32 kilomètres), affluent de la rive gauche de l’Aude, prend sa source dans le bois de Gramentés, reçoit à droite le Grézillou, le Camazou ; à gauche, le Rieutort, le Clamoux.",
DT11-07297,"Maison-de-Refuge (La),",maison forestière,bois de l’Étang,non,"
maison forestière dans le bois de l’Étang, commune de la Fajolle.",
DT11-00105,"Aiguilles (Les),",montagne,bois de Lafage,non,"
montagne dans le bois de Lafage, commune d’Artigues.",
DT11-07064,"Lhadet (Le),",col,bois de Lagaste,non,"
col au midi du bois de Lagaste, commune de Montfort, limite des départements de l’Aude et des Pyrénées-Orientales.",
DT11-09976,"Perrucel,",col,bois de Monbézia,non,"
col, commune de Belcaire, entre le pic des Sarrazis au midi, la Fréchenouse et le bois de Monbézia au nord ; il donne passage au chemin du pays de Sault à Foix.",
DT11-07286,"Mairolles (Col de),","lieu dit, col",bois de Montdern,non,"
lieu dit, col (490m), entre la Serre de Quintillan et le bois de Montdern, commune de Quintillan.",
DT11-08313,"Montmija,",forêt,bois de Montori,non,"
forêt entre le bois de Montori et la forêt de Mirailles, commune de Coudons.",
DT11-07961,"Métairie-Neuve (La),",ferme,bois du Vicomte,non,"
ferme, dans le bois du Vicomte, commune de Bizanet.",
DT11-01262,"Bonpas,",ferme,Bonhomme,non,"
ferme, commune d’Aiguesvives, entre Bonhomme et Mirausse, 1781 (c. dioc. Carc.).",
DT11-02954,"« Cedros »,",station,Bordeaux,non,"
station marquée sur l’itinéraire de Bordeaux à Jérusalem, à 8 milles à l’O. de Carcassonne.",
DT11-06092,"« Hosuerbas »,",ancien relais,Bordeaux,non,"
ancien relais sur la route de Narbonne à Bordeaux, à 15 milles à l’E. de Narbonne, d’après l’Itinéraire d’Antonin : Mutatio Hosuerbas ; à 11 milles, d’après la Table théodosienne : Usuerna = Usuerva.
      ",
DT11-07528,"Marcorignan,",station du chemin de fer,Bordeaux,non,"
station du chemin de fer, commune de Narbonne, sur la ligne de Cette à Bordeaux.",
DT11-13552,"« Sostomagus »,",ancien relais,Bordeaux,non,"
ancien relais sur la route de Bordeaux à Jérusalem, à 38 milles de Toulouse, et à 24 milles de Carcassonne.",
DT11-09122,"Notre-Dame,",ancien faubourg,Boulevard,non,"
ancien faubourg de la Ville-Basse, rive gauche de l’Aude, entre le Pont-Vieux et le Boulevard, commune de Carcassonne.",
DT11-01643,"Bourrais,",localité disparue,Bouran,non,"
localité disparue entre Villeneuve-des-Corbieres 
44et Durban ; c’est mal à propos que les nouveaux éditeurs de l’Hist. de Lang. (V, c. 1982) identifient cette localité avec Bouran, commune de Servian (Hérault).",
DT11-01623,"Bourg-Vicomtal,",partie,Bourg,non,"
partie de Bourg, à l’O. de la ville, commune de Narbonne.",
DT11-08300,"Montlaurès,",ancien quartier,Bourg,non,"
ancien quartier de Bourg, commune de Narbonne.",
DT11-12912,"Saint-Pierre,",ancien hôpital,Bourg,non,"
ancien hôpital du Bourg, commune de Carcassonne.",
DT11-13056,"Saint-Sépulcre,",ancien hôpital,Bourg de Carcassonne,11069,"
ancien hôpital du Bourg de Carcassonne.",
DT11-13120,"Saint-Vincent,",ancienne chapelle rurale,Bouriette,non,"
lieu dit, commune de Moussoulens, sect. B ; ancienne chapelle rurale, rive droite de la Rougeanne et au nord de la Bouriette.",
DT11-03877,"Crouzette (La),",lieu dit,Brousses,non,"
lieu dit, commune de Montolieu, au-dessous de Malportel, au croisement des chemins de Moussoulens à Brousses, et de Montolieu à Fraisse-Cabardes.",
DT11-03782,"Delphin (La),",oratoire,Buadelle,non,"
oratoire, commune de Laure, entre Laure et Buadelle, 1536 (arch. Aude, E, rech. dioc. Narb.).",
DT11-13228,"Salsigne,",châtellenie,Cabardès,11222,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à saint Saturnin ; châtellenie de Cabardès ; siège particulier du Cabardès jusqu’en 1648.",
DT11-06127,"Ilhes (Les),",châtellenie,Cabaret,11222,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à saint Hilaire ; châtellenie de Cabaret, sénéchaussée de Carcassonne.",
DT11-06785,"Lastours,",châtellenie,Cabaret,non,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à saint Pierre et saint Paul ; châtellenie de Cabaret, sénéchaussée de Carcassonne.",
DT11-10991,"Quiertigneux,",une des tours,Cabaret,non,"l’une des tours de Cabaret, commune de Lastours.",
DT11-13649,"Surdespine,",un des châteaux,Cabaret,non,"l’un des châteaux de Cabaret, commune de Lastours.",
DT11-14613,"Villanière,",châtellenie,Cabaret,non,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à saint Martin ; châtellenie de Cabaret.",
DT11-11996,"Saint-Antoine,",église ruinée,Cabezac,non,"
église ruinée, à Cabezac, sur la rive gauche de la Cesse, commune de Bize.",
DT11-03886,"Crucifix (Le),",ancien oratoire ou croix,Calvaire,non,"
ancien oratoire ou croix de Calvaire, commune de Laure.",
DT11-03814,"Croix-de-Saint-Cristol (La),",oratoire,Camon,non,"
oratoire, sur le chemin de Camon, commune de Peyrefite-du-Razès ; vulg. Croix-de-Cristol.",
DT11-04044,"Dournes,",massif montagneux,Campagna,11062,"
massif montagneux entre Campagna et Fontanes.",
DT11-00394,"Aude (L’),",rivière,Campagne,11063,"
rivière, prend sa source au Lac d’Aude, au pied du roc d’Aude (Pyrénées-Orientales), entre dans le département de l’Ariège au col des Arres, sert de limite à l’Ariège et à l’Aude entre Escouloubre et Carcanières, pénètre dans ce département où elle arrose Axat, Belvianes, Quillan, Campagne, Couiza, Alet, Limoux, Cepie, Pieusse, Pomas, Rouffiac, Preixan, Couffoulens, Carcassonne, Trebes, Floure, Barbaira, Marseillette, Blomac, Saint-Couat-d'Aude, Puicheric, Roquecourbe, Castelnau-d'Aude, Argens, Roubia, Paraza, Ventenac-d'Aude, Canet, Raissac-d'Aude, Saint-Nazaire, Saint-Marcel, Marcorignan, Moussan, Cuxac-d'Aude, Salleles-d'Aude, Coursan, Salles-d'Aude et Fleury, et se jette dans la mer après un cours de 208 kilomètres, dont 180 dans le département.",
DT11-02390,"Capéla (Le),",ferme disparue,Campagne,11063,"
ferme disparue entre Campagne et Esperaza.",
DT11-06623,"Lampy (Bassins de),",réservoirs,canal du Midi,non,"
réservoirs pour l’alimentation du canal du Midi.",
DT11-00315,"Arnette (L’),",rivière,Cansoleil,81163,"
rivière, prend sa source au pic de Nore, commune de Pradelles-Cabardès, sert de limite aux communes de Pradelles et de Labastide-Esparbairenque, entre dans le Tarn à Cansoleil et se jette dans l’Agout.",
DT11-00965,"Belvianes (Couillade de),",col,Cap-de-Fer,non,"
col légèrement infléchi entre Cap-de-Fer et le Pech-de-Laxet, communes de Saint-Martin-Lys et de Puilaurens.",
DT11-07091,"Lieuran,",localité disparue,Capestang,non,"
localité disparue, commune de Cuxac-d’Aude ; elle confrontait du midi le chemin de Coursan ; de cers, celui de Capestang.",
DT11-10475,"Pont-d’Alby (Le),",ancien pont,Capestang,non,"
lieu dit, au terroir de Cité, commune de Narbonne ; ancien pont sur le chemin de Narbonne à Capestang.",
DT11-00394,"Aude (L’),",rivière,Carcanières,non,"
rivière, prend sa source au Lac d’Aude, au pied du roc d’Aude (Pyrénées-Orientales), entre dans le département de l’Ariège au col des Arres, sert de limite à l’Ariège et à l’Aude entre Escouloubre et Carcanières, pénètre dans ce département où elle arrose Axat, Belvianes, Quillan, Campagne, Couiza, Alet, Limoux, Cepie, Pieusse, Pomas, Rouffiac, Preixan, Couffoulens, Carcassonne, Trebes, Floure, Barbaira, Marseillette, Blomac, Saint-Couat-d'Aude, Puicheric, Roquecourbe, Castelnau-d'Aude, Argens, Roubia, Paraza, Ventenac-d'Aude, Canet, Raissac-d'Aude, Saint-Nazaire, Saint-Marcel, Marcorignan, Moussan, Cuxac-d'Aude, Salleles-d'Aude, Coursan, Salles-d'Aude et Fleury, et se jette dans la mer après un cours de 208 kilomètres, dont 180 dans le département.",
DT11-02482,"Carcassès,",ruisseau,Carcassès,non,"
ruisseau, affluent rive gauche de l’Aude, à la limite des communes de Cépie et de Rouffiac-d’Aude ; il servait de limite au Carcassès et au Razès.",
DT11-02483,"Carcassès,",ruisseau,Carcassès,non,"
ruisseau, affluent rive droite de l’Aude, à la limite des communes de Pieusse et de Pomas ; limite du Carcassès et du Razès.",
DT11-12684,"Saint-Léonard,",ancienne église,Carmélites,non,"
chapellenie, dans l’ancienne église des Carmélites, commune de Narbonne, 1756 
(Caldaguez, p. 79).",
DT11-00280,"Argentdouble (L’),",rivière,Castanvieil,11081,"
rivière, prend sa source près de Lespinassière, reçoit le ruisseau de Canet, l’Alsouque, arrose Citou, Castanvieil, Caunes, Trausse, Peyriac-Minervois, Rieux-Minervois, Azille, Laredorte, et se jette dans l’Aude après un cours de 20 kilomètres.",
DT11-01970,"Cacarel,",col,Casteldos,non,"
col, entre Casteldos et la Rabasse, commune du Bousquet.",
DT11-02659,"Castelnaudary,",chef-lieu d’arrondissement et chef-lieu de deux cantons,Castelnaudary-Nord,non,"
chef-lieu d’arrondissement et chef-lieu de deux cantons : Castelnaudary-Nord, Castelnaudary-Sud.",
DT11-02659,"Castelnaudary,",chef-lieu d’arrondissement et chef-lieu de deux cantons,Castelnaudary-Sud,non,"
chef-lieu d’arrondissement et chef-lieu de deux cantons : Castelnaudary-Nord, Castelnaudary-Sud.",
DT11-03049,"Chemin-des-Huguenots,",route,Castres,non,"
route qui paraît venir des confins de l’Ariège et se diriger vers Castres.",
DT11-03784,"Croix-de-l’Escandel (La),",ancien oratoire,Castres,non,"
ancien oratoire, sur le chemin de Castres au Minervois, à la limite des communes de Lastours et de Salsigne ; lieu dit, commune de Lastours ; ancien fief royal s’étendant sur la commune de Villanière.",
DT11-03828,"Croix-des-Couronnes (La),",oratoire,Castres,non,"
oratoire, au terroir d’Azac, commune de Conques, à la bifurcation des chemins de Carcassonne à Castres.",
DT11-02630,"Castélas (Le),",ruines d’un ancien château,Caudas,non,"
ruines d’un ancien château, entre Gesse et Caudas, commune de Bessède-de-Sault.",
DT11-12697,"Saint-Louis (Col de),",col,Caudiès,non,"à la limite des départements de l’Aude et des Pyrénées-Orientales, commune de Saint-Louis-de-Parahou ; col donnant passage à l’ancienne route de Quillan à Caudiès.",
DT11-14305,"Val-de-Daigne (La),",portion,Caunettes,non,"
portion du pagus Carcassonensis qui comprenait les localités suivantes : Caunettes, Rieux, Taurize, Serviès, Villetritouls, Arquettes, Labastide, le Villa, et les châteaux de Trèbes et de Faviès.",
DT11-09138,"Notre-Dame,",ancien décimaire,Caussade,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-13048,"Saint-Sauveur,",ancienne chapelle,Cayréjac,non,"
ancienne chapelle entre l’Obit et Cayréjac, commune de Verdun, fondée en 1507 par noble Jean d’Antin (arch. Aude, B 2135).",
DT11-03848,"Croix-du-Tiers (La),",ancien oratoire,Cazalbernous,non,"
ancien oratoire, à la limite des communes de la Tourette et de Miraval-Cabardès, sur le chemin de Cazalbernous au Mas-Cabardes.",
DT11-12077,"Saint-Cassian,",chapelle rurale,Céleyran,non,"
chapelle rurale de Céleyran, fondée par Charlemagne, commune de Salles-d’Aude.",
DT11-12574,"Saint-Jean,",ancienne commanderie,Céleyran,non,"
ancienne commanderie de l’ordre de Malte à Céleyran, commune de Salles-d’Aude.",
DT11-05936,"Halte (La),",station du chemin de fer,Cerbère,non,"
station du chemin de fer sur la ligne de Narbonne à Cerbère, commune de Lapalme.",
DT11-05938,"Halte (La),",station du chemin de fer,Cerbère,non,"
station du chemin de fer, sur la ligne de Narbonne à Cerbère, au terroir de Sainte-Lucie, commune de la Nouvelle.",
